16pkA02 syn606 3.40.50.1260
3tuiA00 syn706 1.10.3720.10
3tuiD01 syn10 3.40.50.300
3tuiD01 syn30 3.40.50.300
3u0cA00 syn774 1.20.120.330
3u1vA01 syn308 3.40.50.620
3u40D00 syn747 3.40.50.1580
3v4rA01 syn825 3.40.50.300
3v5uA01 syn164 6.10.280.80
3w5xA00 syn421 3.30.70.1350
3wt0A02 syn523 3.30.420.40
3zbhA00 syn481 1.10.287.1060
3zdbA01 syn97 3.40.50.1010
3zeuB01 syn79 3.30.420.40
3zh9B03 syn826 1.20.272.10
3zihA00 syn521 3.30.110.150
3zojA00 syn908 1.20.1080.10
3zq4A01 syn257 3.60.15.10
3zq4A01 syn600 3.60.15.10
3zukA01 syn444 3.40.390.10
4b1bA00 syn228 3.50.50.60
4b3xA02 syn297 3.40.50.300
4b4uB01 syn684 3.40.50.720
4bfmA00 syn264 1.10.510.10
4blpB00 syn503 3.40.50.300
4c7oA02 syn360 3.40.50.300
4dk4B00 syn447 1.10.4010.10
4dw8A01 syn546 3.40.50.1000
4dw8A01 syn66 3.40.50.1000
4dw8A01 syn710 3.40.50.1000
4dw8A01 syn728 3.40.50.1000
4dw8A01 syn77 3.40.50.1000
4e40A00 syn5 1.20.1260.80
4em8A00 syn800 3.40.1400.10
4fwiB00 syn167 3.40.50.300
4fwiB00 syn168 3.40.50.300
4g6zA01 syn126 3.40.50.620
4hs5A00 syn641 3.30.920.10
4huqA00 syn642 3.40.50.300
4huqS00 syn822 1.10.1760.20
4i98C01 syn328 1.10.10.10
4i99A00 syn415 3.40.50.300
4iqfB01 syn390 3.40.50.170
4j80A03 syn541 2.60.260.20
4jixB00 syn332 3.30.2010.10
4k0dA00 syn478 1.20.120.1730
4k2hD00 syn400 3.40.50.880
4l0mA00 syn381 3.40.50.1580
4l63A00 syn479 3.40.390.10
4labA00 syn329 3.30.2350.10
4lugB00 syn344 3.90.80.10
4lunU00 syn830 1.25.40.180
4lw2A02 syn441 3.40.640.10
4mqbB00 syn45 3.40.50.300
4n06A01 syn80 3.100.10.20
4n1vA00 syn350 4.10.520.10
4nu0A00 syn651 3.40.50.300
4o53A00 syn727 3.20.20.70
4ombA02 syn425 3.40.190.10
4orlA00 syn636 3.10.450.50
4owwB00 syn437 2.40.50.140
4p02A02 syn113 3.90.550.10
4pc3C02 syn539 3.30.479.20
4px7A00 syn214 1.20.144.10
4q4hA02 syn371 3.40.50.300
4q4hA02 syn372 3.40.50.300
4qiqA00 syn691 1.20.1250.20
4qiqA00 syn881 1.20.1250.20
4qt4A00 syn832 3.40.50.1470
4r0mA02 syn392 3.30.300.30
4r78A02 syn906 3.90.1200.10
4rfsS00 syn296 1.10.1760.20
4ry2A01 syn401 3.90.70.10
4toiA01 syn540 3.40.50.10490
4uy8X00 syn422 2.30.170.40
4v19F00 syn670 3.40.1370.10
4v19W00 syn501 3.90.470.10
4x9xA01 syn616 3.40.50.10170
4xxbB00 syn526 2.30.30.380
4ymuD00 syn165 1.10.3720.10
5aj3K00 syn646 3.30.420.80
5aj3Q00 syn662 2.40.50.140
5awwY00 syn652 1.10.3370.10
5cxdB01 syn513 3.90.470.20
5d0yA00 syn314 1.10.1760.20
5d0yA00 syn836 1.10.1760.20
5dm6H00 syn661 2.40.150.20
5jszA00 syn643 3.40.50.300
5kbwB00 syn877 1.10.1760.20
5kzkA02 syn448 3.40.1280.10
5l8sA01 syn520 3.40.50.1820
5lx1A00 syn851 3.20.20.140
5mmiJ02 syn810 1.10.10.250
5mmjj00 syn672 3.30.70.600
5mmjp00 syn362 3.30.1320.10
5mn7A01 syn522 3.40.50.1440
5mp7A01 syn831 3.40.50.2020
5nckA02 syn495 3.30.420.40
5o5jT00 syn82 1.20.58.110
5o60I00 syn807 3.30.70.1730
5odnC00 syn26 2.40.50.140
5oomK00 syn638 3.90.1180.10
5uj1A01 syn859 3.40.50.140
5umbA01 syn542 3.30.420.40
5umsA02 syn538 2.30.29.30
5vmzA01 syn648 3.30.160.60
5xym200 syn910 1.10.287.3980
5ykwA00 syn65 3.40.30.10
5znqA00 syn413 3.40.50.2020
6a5gA01 syn398 3.10.450.50
6az0A01 syn39 3.40.50.300
6c6bB00 syn931 3.40.50.300
6c6uN00 syn840 3.30.70.940
6eboA00 syn773 1.10.620.20
6ebqA00 syn772 3.40.50.360
6ei9A01 syn63 3.20.20.70
6ezmA01 syn918 3.30.230.40
6f1uK02 syn527 3.90.1150.210
6grjB01 syn602 1.20.1170.10
6h21A01 syn697 3.90.550.10
6h9xA02 syn61 3.30.930.10
6heiA01 syn399 3.90.70.10
6ifsB01 syn4 3.40.50.150
6ioyC02 syn230 3.30.420.40
6iq1A00 syn438 3.30.428.10
6k6iA00 syn518 1.20.1070.10
6kduA02 syn690 3.30.470.30
6ldiF01 syn407 1.10.10.10
6m20C01 syn325 1.20.1250.20
6nrzA02 syn64 3.30.930.10
6nuiA01 syn203 3.40.50.300
6pfzD02 syn887 3.50.50.60
6pqhA02 syn76 3.30.930.10
6qdws00 syn666 3.90.470.10
6qdwt00 syn669 3.30.70.330
6qpqB00 syn327 1.10.10.580
6rk7B02 syn432 3.30.300.10
6ryvA02 syn108 2.60.40.10
6tg6A01 syn3 3.40.1360.10
6tkvA01 syn820 1.10.287.1060
6ysiH01 syn653 3.100.10.10
7akwA01 syn304 1.20.1070.10
7b00A01 syn876 1.20.1740.10
7b00A01 syn878 1.20.1740.10
7cymA02 syn338 2.60.40.60
7drjB01 syn875 1.20.120.1760
7ed6A01 syn420 1.25.40.340
7en7A01 syn42 3.40.50.10490
7f16R01 syn601 1.20.1070.10
7k98B01 syn615 2.40.50.140
7kypB01 syn9 1.10.3470.10
7mi4A01 syn389 3.90.320.10
7swlB01 syn132 3.40.50.300
7wm5A01 syn43 3.40.50.150
7y7oA01 syn402 3.40.390.30
7yu4A01 syn94 1.20.1070.10
7zdtD01 syn693 1.20.1560.10
8b0qA01 syn254 3.30.420.340
8cwoF01 syn27 3.30.70.60
8dbsG01 syn791 3.40.1380.10
8dy9I01 syn817 3.10.28.10
8igrI01 syn804 2.40.270.10
